Data,Status da inscrição,Visualizações intencionais
2024-12-02,Não inscrito,436
2024-12-03,Não inscrito,1464
2024-12-04,Não inscrito,2766
2024-12-05,Não inscrito,3684
2024-12-06,Não inscrito,4990
2024-12-07,Não inscrito,903
2024-12-08,Não inscrito,14
2024-12-09,Não inscrito,15
2024-12-10,Não inscrito,14
2024-12-11,Não inscrito,2
2024-12-12,Não inscrito,2
2024-12-13,Não inscrito,1
2024-12-14,Não inscrito,6
2024-12-15,Não inscrito,4
2024-12-16,Não inscrito,5
2024-12-17,Não inscrito,1
2024-12-18,Não inscrito,4
2024-12-19,Não inscrito,0
2024-12-20,Não inscrito,0
2024-12-21,Não inscrito,0
2024-12-22,Não inscrito,1
2024-12-23,Não inscrito,0
2024-12-24,Não inscrito,1
2024-12-25,Não inscrito,2
2024-12-26,Não inscrito,1
2024-12-27,Não inscrito,0
2024-12-28,Não inscrito,0
2024-12-29,Não inscrito,1
2024-12-30,Não inscrito,0
2024-12-31,Não inscrito,0
2025-01-01,Não inscrito,0
2025-01-02,Não inscrito,1
2025-01-03,Não inscrito,1
2025-01-04,Não inscrito,1
2025-01-05,Não inscrito,3
2025-01-06,Não inscrito,1
2025-01-07,Não inscrito,0
2025-01-08,Não inscrito,0
2025-01-09,Não inscrito,0
2025-01-10,Não inscrito,0
2025-01-11,Não inscrito,1
2025-01-12,Não inscrito,0
2025-01-13,Não inscrito,0
2025-01-14,Não inscrito,0
2025-01-15,Não inscrito,0
2025-01-16,Não inscrito,0
2025-01-17,Não inscrito,0
2025-01-18,Não inscrito,0
2025-01-19,Não inscrito,0
2025-01-20,Não inscrito,0
2025-01-21,Não inscrito,0
2025-01-22,Não inscrito,0
2025-01-23,Não inscrito,0
2025-01-24,Não inscrito,0
2025-01-25,Não inscrito,0
2025-01-26,Não inscrito,1
2025-01-27,Não inscrito,0
2025-01-28,Não inscrito,0
2025-01-29,Não inscrito,0
2025-01-30,Não inscrito,0
2025-01-31,Não inscrito,0
2025-02-01,Não inscrito,0
2025-02-02,Não inscrito,0
2025-02-03,Não inscrito,0
2025-02-04,Não inscrito,0
2025-02-05,Não inscrito,0
2025-02-06,Não inscrito,0
2025-02-07,Não inscrito,0
2025-02-08,Não inscrito,0
2025-02-09,Não inscrito,0
2025-02-10,Não inscrito,0
2025-02-11,Não inscrito,0
2025-02-12,Não inscrito,0
2025-02-13,Não inscrito,1
2025-02-14,Não inscrito,0
2025-02-15,Não inscrito,0
2025-02-16,Não inscrito,0
2025-02-17,Não inscrito,0
2025-02-18,Não inscrito,0
2025-02-19,Não inscrito,0
2025-02-20,Não inscrito,0
2025-02-21,Não inscrito,0
2025-02-22,Não inscrito,0
2025-02-23,Não inscrito,0
2025-02-24,Não inscrito,0
2025-02-25,Não inscrito,0
2025-02-26,Não inscrito,0
2025-02-27,Não inscrito,0
2025-02-28,Não inscrito,0
2025-03-01,Não inscrito,0
2025-03-02,Não inscrito,0
2025-03-03,Não inscrito,0
2025-03-04,Não inscrito,0
2025-03-05,Não inscrito,0
2025-03-06,Não inscrito,0
2025-03-07,Não inscrito,0
2025-03-08,Não inscrito,0
2025-03-09,Não inscrito,0
2025-03-10,Não inscrito,0
2025-03-11,Não inscrito,0
2025-03-12,Não inscrito,0
2025-03-13,Não inscrito,0
2025-03-14,Não inscrito,1
2025-03-15,Não inscrito,0
2025-03-16,Não inscrito,0
2025-03-17,Não inscrito,0
2025-03-18,Não inscrito,0
2025-03-19,Não inscrito,0
2025-03-20,Não inscrito,0
2025-03-21,Não inscrito,0
