Data,Espectadores novos e recorrentes,Visualizações intencionais
2025-10-31,Novos espectadores,1
2025-11-01,Novos espectadores,1
2025-11-02,Novos espectadores,1
2025-11-03,Novos espectadores,2
2025-11-04,Novos espectadores,2
2025-11-05,Novos espectadores,1
2025-11-06,Novos espectadores,1
2025-11-07,Novos espectadores,2
2025-11-08,Novos espectadores,1
2025-11-09,Novos espectadores,1
2025-11-10,Novos espectadores,0
2025-11-11,Novos espectadores,0
2025-11-12,Novos espectadores,0
2025-11-13,Novos espectadores,0
2024-11-14,Espectadores recorrentes,0
2024-11-15,Espectadores recorrentes,0
2024-11-16,Espectadores recorrentes,0
2024-11-17,Espectadores recorrentes,0
2024-11-18,Espectadores recorrentes,0
2024-11-19,Espectadores recorrentes,0
2024-11-20,Espectadores recorrentes,0
2024-11-21,Espectadores recorrentes,0
2024-11-22,Espectadores recorrentes,0
2024-11-23,Espectadores recorrentes,0
2024-11-24,Espectadores recorrentes,0
2024-11-25,Espectadores recorrentes,0
2024-11-26,Espectadores recorrentes,0
2024-11-27,Espectadores recorrentes,0
2024-11-28,Espectadores recorrentes,0
2024-11-29,Espectadores recorrentes,0
2024-11-30,Espectadores recorrentes,0
2024-12-01,Espectadores recorrentes,0
2024-12-02,Espectadores recorrentes,5
2024-12-03,Espectadores recorrentes,30
2024-12-04,Espectadores recorrentes,71
2024-12-05,Espectadores recorrentes,124
2024-12-06,Espectadores recorrentes,189
2024-12-07,Espectadores recorrentes,41
2024-12-08,Espectadores recorrentes,3
2024-12-09,Espectadores recorrentes,5
2024-12-10,Espectadores recorrentes,0
2024-12-11,Espectadores recorrentes,0
2024-12-12,Espectadores recorrentes,1
2024-12-13,Espectadores recorrentes,0
2024-12-14,Espectadores recorrentes,0
2024-12-15,Espectadores recorrentes,0
2024-12-16,Espectadores recorrentes,1
2024-12-17,Espectadores recorrentes,0
2024-12-18,Espectadores recorrentes,0
2024-12-19,Espectadores recorrentes,0
2024-12-20,Espectadores recorrentes,0
2024-12-21,Espectadores recorrentes,0
2024-12-22,Espectadores recorrentes,0
2024-12-23,Espectadores recorrentes,0
2024-12-24,Espectadores recorrentes,0
2024-12-25,Espectadores recorrentes,0
2024-12-26,Espectadores recorrentes,0
2024-12-27,Espectadores recorrentes,0
2024-12-28,Espectadores recorrentes,0
2024-12-29,Espectadores recorrentes,0
2024-12-30,Espectadores recorrentes,0
2024-12-31,Espectadores recorrentes,0
2025-01-01,Espectadores recorrentes,0
2025-01-02,Espectadores recorrentes,0
2025-01-03,Espectadores recorrentes,0
2025-01-04,Espectadores recorrentes,0
2025-01-05,Espectadores recorrentes,0
2025-01-06,Espectadores recorrentes,0
2025-01-07,Espectadores recorrentes,0
2025-01-08,Espectadores recorrentes,0
2025-01-09,Espectadores recorrentes,0
2025-01-10,Espectadores recorrentes,0
2025-01-11,Espectadores recorrentes,0
2025-01-12,Espectadores recorrentes,0
2025-01-13,Espectadores recorrentes,0
2025-01-14,Espectadores recorrentes,0
2025-01-15,Espectadores recorrentes,0
2025-01-16,Espectadores recorrentes,0
2025-01-17,Espectadores recorrentes,0
2025-01-18,Espectadores recorrentes,0
2025-01-19,Espectadores recorrentes,0
2025-01-20,Espectadores recorrentes,0
2025-01-21,Espectadores recorrentes,0
2025-01-22,Espectadores recorrentes,0
2025-01-23,Espectadores recorrentes,0
2025-01-24,Espectadores recorrentes,0
2025-01-25,Espectadores recorrentes,0
2025-01-26,Espectadores recorrentes,0
2025-01-27,Espectadores recorrentes,0
2025-01-28,Espectadores recorrentes,0
2025-01-29,Espectadores recorrentes,0
2025-01-30,Espectadores recorrentes,0
2025-01-31,Espectadores recorrentes,0
2025-02-01,Espectadores recorrentes,0
2025-02-02,Espectadores recorrentes,0
2025-02-03,Espectadores recorrentes,0
2025-02-04,Espectadores recorrentes,0
2025-02-05,Espectadores recorrentes,0
2025-02-06,Espectadores recorrentes,0
2025-02-07,Espectadores recorrentes,0
2025-02-08,Espectadores recorrentes,0
2025-02-09,Espectadores recorrentes,0
2025-02-10,Espectadores recorrentes,0
2025-02-11,Espectadores recorrentes,0
2025-02-12,Espectadores recorrentes,0
2025-02-13,Espectadores recorrentes,0
2025-02-14,Espectadores recorrentes,0
2025-02-15,Espectadores recorrentes,0
2025-02-16,Espectadores recorrentes,0
2025-02-17,Espectadores recorrentes,0
2025-02-18,Espectadores recorrentes,0
2025-02-19,Espectadores recorrentes,0
2025-02-20,Espectadores recorrentes,0
2025-02-21,Espectadores recorrentes,0
2025-02-22,Espectadores recorrentes,0
2025-02-23,Espectadores recorrentes,0
2025-02-24,Espectadores recorrentes,0
2025-02-25,Espectadores recorrentes,0
2025-02-26,Espectadores recorrentes,0
2025-02-27,Espectadores recorrentes,0
2025-02-28,Espectadores recorrentes,0
2025-03-01,Espectadores recorrentes,0
2025-03-02,Espectadores recorrentes,0
2025-03-03,Espectadores recorrentes,0
2025-03-04,Espectadores recorrentes,0
2025-03-05,Espectadores recorrentes,0
2025-03-06,Espectadores recorrentes,0
2025-03-07,Espectadores recorrentes,0
2025-03-08,Espectadores recorrentes,0
2025-03-09,Espectadores recorrentes,0
2025-03-10,Espectadores recorrentes,0
2025-03-11,Espectadores recorrentes,0
2025-03-12,Espectadores recorrentes,0
2025-03-13,Espectadores recorrentes,0
2025-03-14,Espectadores recorrentes,0
2025-03-15,Espectadores recorrentes,0
2025-03-16,Espectadores recorrentes,0
2025-03-17,Espectadores recorrentes,0
2025-03-18,Espectadores recorrentes,0
2025-03-19,Espectadores recorrentes,0
2025-03-20,Espectadores recorrentes,0
2025-03-21,Espectadores recorrentes,0
2025-03-22,Espectadores recorrentes,0
2025-03-23,Espectadores recorrentes,0
2025-03-24,Espectadores recorrentes,0
2025-03-25,Espectadores recorrentes,0
2025-03-26,Espectadores recorrentes,0
2025-03-27,Espectadores recorrentes,0
2025-03-28,Espectadores recorrentes,0
2025-03-29,Espectadores recorrentes,0
2025-03-30,Espectadores recorrentes,0
2025-03-31,Espectadores recorrentes,0
2025-04-01,Espectadores recorrentes,0
2025-04-02,Espectadores recorrentes,0
2025-04-03,Espectadores recorrentes,0
2025-04-04,Espectadores recorrentes,0
2025-04-05,Espectadores recorrentes,0
2025-04-06,Espectadores recorrentes,0
2025-04-07,Espectadores recorrentes,0
2025-04-08,Espectadores recorrentes,0
2025-04-09,Espectadores recorrentes,0
2025-04-10,Espectadores recorrentes,0
2025-04-11,Espectadores recorrentes,0
2025-04-12,Espectadores recorrentes,0
2025-04-13,Espectadores recorrentes,0
2025-04-14,Espectadores recorrentes,0
2025-04-15,Espectadores recorrentes,0
2025-04-16,Espectadores recorrentes,0
2025-04-17,Espectadores recorrentes,0
2025-04-18,Espectadores recorrentes,0
2025-04-19,Espectadores recorrentes,0
2025-04-20,Espectadores recorrentes,0
2025-04-21,Espectadores recorrentes,0
2025-04-22,Espectadores recorrentes,0
2025-04-23,Espectadores recorrentes,0
2025-04-24,Espectadores recorrentes,0
2025-04-25,Espectadores recorrentes,0
2025-04-26,Espectadores recorrentes,0
2025-04-27,Espectadores recorrentes,0
2025-04-28,Espectadores recorrentes,0
2025-04-29,Espectadores recorrentes,0
2025-04-30,Espectadores recorrentes,0
2025-05-01,Espectadores recorrentes,0
2025-05-02,Espectadores recorrentes,0
2025-05-03,Espectadores recorrentes,0
2025-05-04,Espectadores recorrentes,0
2025-05-05,Espectadores recorrentes,0
2025-05-06,Espectadores recorrentes,0
2025-05-07,Espectadores recorrentes,0
2025-05-08,Espectadores recorrentes,0
2025-05-09,Espectadores recorrentes,0
2025-05-10,Espectadores recorrentes,0
2025-05-11,Espectadores recorrentes,0
2025-05-12,Espectadores recorrentes,0
2025-05-13,Espectadores recorrentes,0
2025-05-14,Espectadores recorrentes,0
2025-05-15,Espectadores recorrentes,0
2025-05-16,Espectadores recorrentes,0
2025-05-17,Espectadores recorrentes,0
2025-05-18,Espectadores recorrentes,0
2025-05-19,Espectadores recorrentes,0
2025-05-20,Espectadores recorrentes,0
2025-05-21,Espectadores recorrentes,0
2025-05-22,Espectadores recorrentes,0
2025-05-23,Espectadores recorrentes,0
2025-05-24,Espectadores recorrentes,0
2025-05-25,Espectadores recorrentes,0
2025-05-26,Espectadores recorrentes,0
2025-05-27,Espectadores recorrentes,0
2025-05-28,Espectadores recorrentes,0
2025-05-29,Espectadores recorrentes,0
2025-05-30,Espectadores recorrentes,0
2025-05-31,Espectadores recorrentes,0
2025-06-01,Espectadores recorrentes,0
2025-06-02,Espectadores recorrentes,0
2025-06-03,Espectadores recorrentes,0
2025-06-04,Espectadores recorrentes,0
2025-06-05,Espectadores recorrentes,0
2025-06-06,Espectadores recorrentes,0
2025-06-07,Espectadores recorrentes,0
2025-06-08,Espectadores recorrentes,0
2025-06-09,Espectadores recorrentes,0
2025-06-10,Espectadores recorrentes,0
2025-06-11,Espectadores recorrentes,0
2025-06-12,Espectadores recorrentes,0
2025-06-13,Espectadores recorrentes,0
2025-06-14,Espectadores recorrentes,0
2025-06-15,Espectadores recorrentes,0
2025-06-16,Espectadores recorrentes,0
2025-06-17,Espectadores recorrentes,0
2025-06-18,Espectadores recorrentes,0
2025-06-19,Espectadores recorrentes,0
2025-06-20,Espectadores recorrentes,0
2025-06-21,Espectadores recorrentes,0
2025-06-22,Espectadores recorrentes,0
2025-06-23,Espectadores recorrentes,0
2025-06-24,Espectadores recorrentes,0
2025-06-25,Espectadores recorrentes,0
2025-06-26,Espectadores recorrentes,0
2025-06-27,Espectadores recorrentes,0
2025-06-28,Espectadores recorrentes,0
2025-06-29,Espectadores recorrentes,0
2025-06-30,Espectadores recorrentes,0
2025-07-01,Espectadores recorrentes,0
2025-07-02,Espectadores recorrentes,0
2025-07-03,Espectadores recorrentes,0
2025-07-04,Espectadores recorrentes,0
2025-07-05,Espectadores recorrentes,0
2025-07-06,Espectadores recorrentes,0
2025-07-07,Espectadores recorrentes,0
2025-07-08,Espectadores recorrentes,0
2025-07-09,Espectadores recorrentes,2
2025-07-10,Espectadores recorrentes,0
2025-07-11,Espectadores recorrentes,0
2025-07-12,Espectadores recorrentes,0
2025-07-13,Espectadores recorrentes,0
2025-07-14,Espectadores recorrentes,0
2025-07-15,Espectadores recorrentes,0
2025-07-16,Espectadores recorrentes,0
2025-07-17,Espectadores recorrentes,0
2025-07-18,Espectadores recorrentes,0
2025-07-19,Espectadores recorrentes,0
2025-07-20,Espectadores recorrentes,0
2025-07-21,Espectadores recorrentes,0
2025-07-22,Espectadores recorrentes,0
2025-07-23,Espectadores recorrentes,0
2025-07-24,Espectadores recorrentes,0
2025-07-25,Espectadores recorrentes,0
2025-07-26,Espectadores recorrentes,0
2025-07-27,Espectadores recorrentes,0
2025-07-28,Espectadores recorrentes,0
2025-07-29,Espectadores recorrentes,0
2025-07-30,Espectadores recorrentes,0
2025-07-31,Espectadores recorrentes,0
2025-08-01,Espectadores recorrentes,0
2025-08-02,Espectadores recorrentes,0
2025-08-03,Espectadores recorrentes,0
2025-08-04,Espectadores recorrentes,0
2025-08-05,Espectadores recorrentes,0
2025-08-06,Espectadores recorrentes,0
2025-08-07,Espectadores recorrentes,0
2025-08-08,Espectadores recorrentes,0
2025-08-09,Espectadores recorrentes,0
2025-08-10,Espectadores recorrentes,0
2025-08-11,Espectadores recorrentes,0
2025-08-12,Espectadores recorrentes,0
2025-08-13,Espectadores recorrentes,0
2025-08-14,Espectadores recorrentes,0
2025-08-15,Espectadores recorrentes,0
2025-08-16,Espectadores recorrentes,0
2025-08-17,Espectadores recorrentes,0
2025-08-18,Espectadores recorrentes,0
2025-08-19,Espectadores recorrentes,0
2025-08-20,Espectadores recorrentes,0
2025-08-21,Espectadores recorrentes,0
2025-08-22,Espectadores recorrentes,0
2025-08-23,Espectadores recorrentes,0
2025-08-24,Espectadores recorrentes,0
2025-08-25,Espectadores recorrentes,0
2025-08-26,Espectadores recorrentes,0
2025-08-27,Espectadores recorrentes,0
2025-08-28,Espectadores recorrentes,0
2025-08-29,Espectadores recorrentes,0
2025-08-30,Espectadores recorrentes,0
2025-08-31,Espectadores recorrentes,0
2025-09-01,Espectadores recorrentes,0
2025-09-02,Espectadores recorrentes,0
2025-09-03,Espectadores recorrentes,0
2025-09-04,Espectadores recorrentes,0
2025-09-05,Espectadores recorrentes,0
2025-09-06,Espectadores recorrentes,0
2025-09-07,Espectadores recorrentes,0
2025-09-08,Espectadores recorrentes,0
2025-09-09,Espectadores recorrentes,0
2025-09-10,Espectadores recorrentes,0
2025-09-11,Espectadores recorrentes,0
2025-09-12,Espectadores recorrentes,0
2025-09-13,Espectadores recorrentes,0
2025-09-14,Espectadores recorrentes,0
2025-09-15,Espectadores recorrentes,0
2025-09-16,Espectadores recorrentes,0
2025-09-17,Espectadores recorrentes,0
2025-09-18,Espectadores recorrentes,0
2025-09-19,Espectadores recorrentes,0
2025-09-20,Espectadores recorrentes,0
2025-09-21,Espectadores recorrentes,0
2025-09-22,Espectadores recorrentes,0
2025-09-23,Espectadores recorrentes,0
2025-09-24,Espectadores recorrentes,0
2025-09-25,Espectadores recorrentes,0
2025-09-26,Espectadores recorrentes,0
2025-09-27,Espectadores recorrentes,0
2025-09-28,Espectadores recorrentes,0
2025-09-29,Espectadores recorrentes,0
2025-09-30,Espectadores recorrentes,0
2025-10-01,Espectadores recorrentes,0
2025-10-02,Espectadores recorrentes,0
2025-10-03,Espectadores recorrentes,0
2025-10-04,Espectadores recorrentes,0
2025-10-05,Espectadores recorrentes,0
2025-10-06,Espectadores recorrentes,0
2025-10-07,Espectadores recorrentes,0
2025-10-08,Espectadores recorrentes,35
2025-10-09,Espectadores recorrentes,98
2025-10-10,Espectadores recorrentes,55
2025-10-11,Espectadores recorrentes,149
2025-10-12,Espectadores recorrentes,51
2025-10-13,Espectadores recorrentes,50
2025-10-14,Espectadores recorrentes,92
2025-10-15,Espectadores recorrentes,448
2025-10-16,Espectadores recorrentes,222
2025-10-17,Espectadores recorrentes,269
2025-10-18,Espectadores recorrentes,503
2025-10-19,Espectadores recorrentes,493
2025-10-20,Espectadores recorrentes,280
2025-10-21,Espectadores recorrentes,100
2025-10-22,Espectadores recorrentes,63
2025-10-23,Espectadores recorrentes,22
2025-10-24,Espectadores recorrentes,11
2025-10-25,Espectadores recorrentes,13
2025-10-26,Espectadores recorrentes,31
2025-10-27,Espectadores recorrentes,14
2025-10-28,Espectadores recorrentes,7
2025-10-29,Espectadores recorrentes,3
2025-10-30,Espectadores recorrentes,2
2025-10-31,Espectadores recorrentes,0
2025-11-01,Espectadores recorrentes,0
2025-11-02,Espectadores recorrentes,1
2025-11-03,Espectadores recorrentes,1
2025-11-04,Espectadores recorrentes,0
2025-11-05,Espectadores recorrentes,0
2025-11-06,Espectadores recorrentes,0
2025-11-07,Espectadores recorrentes,1
2025-11-08,Espectadores recorrentes,0
2025-11-09,Espectadores recorrentes,0
2025-11-10,Espectadores recorrentes,0
2025-11-11,Espectadores recorrentes,0
2025-11-12,Espectadores recorrentes,0
2025-11-13,Espectadores recorrentes,0
