Data,Tipo de conteúdo,Visualizações intencionais
2025-07-18,Vídeos,0
2025-07-19,Vídeos,0
2025-07-20,Vídeos,0
2025-07-21,Vídeos,0
2025-07-22,Vídeos,0
2025-07-23,Vídeos,0
2025-07-24,Vídeos,0
2025-07-25,Vídeos,0
2025-07-26,Vídeos,0
2025-07-27,Vídeos,0
2025-07-28,Vídeos,0
2025-07-29,Vídeos,0
2025-07-30,Vídeos,0
2025-07-31,Vídeos,0
2025-08-01,Vídeos,0
2025-08-02,Vídeos,0
2025-08-03,Vídeos,0
2025-08-04,Vídeos,0
2025-08-05,Vídeos,0
2025-08-06,Vídeos,0
2025-08-07,Vídeos,0
2025-08-08,Vídeos,0
2025-08-09,Vídeos,0
2025-08-10,Vídeos,0
2025-08-11,Vídeos,0
2025-08-12,Vídeos,0
2025-08-13,Vídeos,0
2025-08-14,Vídeos,0
2025-08-15,Vídeos,0
2025-08-16,Vídeos,0
2025-08-17,Vídeos,0
2025-08-18,Vídeos,0
2025-08-19,Vídeos,0
2025-08-20,Vídeos,0
2025-08-21,Vídeos,0
2025-08-22,Vídeos,0
2025-08-23,Vídeos,0
2025-08-24,Vídeos,0
2025-08-25,Vídeos,0
2025-08-26,Vídeos,0
2025-08-27,Vídeos,0
2025-08-28,Vídeos,0
2025-08-29,Vídeos,0
2025-08-30,Vídeos,0
2025-08-31,Vídeos,0
2025-09-01,Vídeos,0
2025-09-02,Vídeos,0
2025-09-03,Vídeos,0
2025-09-04,Vídeos,0
2025-09-05,Vídeos,0
2025-09-06,Vídeos,0
2025-09-07,Vídeos,0
2025-09-08,Vídeos,0
2025-09-09,Vídeos,0
2025-09-10,Vídeos,0
2025-09-11,Vídeos,0
2025-09-12,Vídeos,0
2025-09-13,Vídeos,0
2025-09-14,Vídeos,0
2025-09-15,Vídeos,0
2025-09-16,Vídeos,0
2025-09-17,Vídeos,0
2025-09-18,Vídeos,0
2025-09-19,Vídeos,0
2025-09-20,Vídeos,0
2025-09-21,Vídeos,0
2025-09-22,Vídeos,0
2025-09-23,Vídeos,0
2025-09-24,Vídeos,0
2025-09-25,Vídeos,0
2025-09-26,Vídeos,0
2025-09-27,Vídeos,0
2025-09-28,Vídeos,0
2025-09-29,Vídeos,0
2025-09-30,Vídeos,0
2025-10-01,Vídeos,0
2025-10-02,Vídeos,0
2025-10-03,Vídeos,0
2025-10-04,Vídeos,0
2025-10-05,Vídeos,0
2025-10-06,Vídeos,0
2025-10-07,Vídeos,0
2025-10-08,Vídeos,4
2025-10-09,Vídeos,2
2025-10-10,Vídeos,2
2025-10-11,Vídeos,0
2025-10-12,Vídeos,0
2025-10-13,Vídeos,2
2025-10-14,Vídeos,1
2025-10-15,Vídeos,5
2025-10-16,Vídeos,1
2025-10-17,Vídeos,0
2025-10-18,Vídeos,2
2025-10-19,Vídeos,0
2025-10-20,Vídeos,0
2025-10-21,Vídeos,0
2025-10-22,Vídeos,0
2025-10-23,Vídeos,0
2025-10-24,Vídeos,0
2025-10-25,Vídeos,0
2025-10-26,Vídeos,0
2025-10-27,Vídeos,0
2025-10-28,Vídeos,0
2025-10-29,Vídeos,0
2025-10-30,Vídeos,0
2025-10-31,Vídeos,0
2025-11-01,Vídeos,0
2025-11-02,Vídeos,0
2025-11-03,Vídeos,0
2025-11-04,Vídeos,0
2025-11-05,Vídeos,0
2025-11-06,Vídeos,0
2025-11-07,Vídeos,0
2025-11-08,Vídeos,0
2025-11-09,Vídeos,0
2025-11-10,Vídeos,0
2025-11-11,Vídeos,0
2025-11-12,Vídeos,0
2025-11-13,Vídeos,0
